name, shufersal, carfur, victory, wolt
קורני סנדוויץ שחור לבן4י, 15.90, N/A, 14.90, N/A
קורני חט.דגנים+שוקולד6יח, 15.90, 15.90, 14.90, N/A
קורני 6חט.דגנים+שוק+בננה, 15.90, 15.90, 14.90, ['16.90']
קורני חטיפי קוקוס שוק6יח, 15.90, 15.90, 14.90, N/A
6קורני+שוק.מריר58% קקאו, 15.90, 15.90, 14.90, N/A
קורני FREE שוקולד חלב6יח, 15.90, 15.90, 14.90, N/A
מרכך כביסה רוח קיץ כחול1, 10.90, N/A, 9.90, N/A
מרכך כ.דובי מפנק לבן 1ל, 10.90, N/A, 9.90, N/A
סוכריות אייס פרש 425 גרם, 19.90, N/A, 18.90, N/A
סוכ.שטורק שוקולד 325גרם, 19.90, N/A, 18.90, ['22.90']
סוכריות חמאה וורטר135גרם, 9.90, N/A, 9.90, N/A
סוכ.חמאה וורטר ל.סוכר80ג, 9.90, 9.00, 9.90, ['11.90']
סוכ.וורטר ללא סוכר קפה80, 9.90, N/A, 9.90, N/A
סוכ.וורטר לל`ס שוקולד70ג, 9.90, 9.00, 9.90, N/A
טופיפי 125 גרם, 10.00, 14.90, 13.90, ['15.50']
ורטר פופקורן קרמל 140גר, 17.90, N/A, 16.90, ['19.90']
קנופרס וופל מיניס 200 גר, 19.90, N/A, N/A, ['20.50']
דאו.רול און FA לימון 50מ, 12.90, N/A, 10.90, N/A
אולוייז מגה פק מגן 80יח, 21.90, 21.20, 19.90, N/A
עוג.סנדוויץ היט וניל220ג, 11.90, 11.00, N/A, N/A
עוג.סנדוויץ היט קקאו220ג, 11.90, N/A, 10.90, ['14.90']
אטריות טאליאטלה כוסמין, 23.90, 23.20, N/A, N/A
ספוגיות גליצי עמידות 3, 9.90, N/A, 14.90, N/A
ספוגית פלדה פוואר זוג זו, 19.90, N/A, 19.90, N/A
מטליות ניקוי לחיידקים 8, 39.90, 42.50, N/A, N/A
וינסטון כחול טבק חפ, 98.00, N/A, 95, N/A
קרם להסרת שיער רגיש100מל, 46.50, N/A, 29.90, N/A
ויט 12רצועות שעווה צמחית, 19.90, N/A, N/A, ['30.90']
קפה נמס אספרסו 57 100גרם, 19.90, 29.90, N/A, N/A
קפה נמס דוידוף 100גרם, 19.90, 29.90, N/A, N/A
