name, shufersal, carfur, victory, wolt
פפריקה מרוקאית חריפה100ג, 12.90, 12.90, 12.90, N/A
קינמון טחון 100 גרם, 10.70, 11.90, 10.90, N/A
צ`ילי מקסיקני גרוס 70גרם, 12.90, 12.90, 12.90, N/A
תבלין על האש 100 גרם, 12.60, 12.90, 12.90, N/A
תבלין גריל עוף 100 גרם, 12.60, 12.90, 12.90, N/A
תערובת חוויאג` למרק100גר, 12.90, 12.90, 12.90, N/A
פפריקה הונגרית מתוקה400ג, 19.90, 27.50, 24.90, N/A
פפריקה מרוקאית מתוקה400ג, 19.90, 27.50, 24.90, N/A
פפריקה מתוקה בשקית 80גרם, 6.90, 6.90, 6.70, N/A
פלפל שחור טחון בשקית50ג, 8.30, 8.90, 7.90, N/A
כמון טחון בשקית 50 גרם, 6.90, N/A, 7.90, N/A
חליטת לימונענע 25ש*2.2גר, 19.90, N/A, 19.90, N/A
פרינוק מחית תפו`ע+בננ130, 5.20, N/A, 4.90, N/A
פרינוק גוניור תפו`ע190ג, 6.20, N/A, 5.90, N/A
פרינוק גונ.תפו`ע+בננ190, 6.20, N/A, 5.90, N/A
פרינוק גונ.סלט פירות190, 6.20, N/A, 5.90, N/A
פרינוק ג`ונ.לפתן פירו190, 6.20, 6.00, 5.90, N/A
טונה בשמן צמחי 158*4 גרם, 25.50, 25.50, 25.90, N/A
טונה במי מלח 158*4 גרם, 25.50, 25.50, 25.90, ['27.90']
טונה בשמן קנולה 158*4 גר, 25.50, 25.50, 25.90, N/A
מיקס חטיפי עלית 390ג, 31.90, 34.90, 26.90, ['37.90']
שוקולד פסק זמן מיני400ג, 31.90, N/A, 26.90, N/A
שוקולית 850 גרם, 19.90, 22.90, 19.90, N/A
דוריטוס בטעם חריף אש70גר, 4.50, 5.20, N/A, N/A
סחוג תימני 250 גרם, 16.50, N/A, 14.90, N/A
לימון בלאדי 250 גרם, 16.50, 16.50, 14.90, ['17.90']
אריסה מתוקה 250 גרם, 16.50, N/A, 14.90, N/A
ממרח שיפקה כבוש חריף 250, 16.50, N/A, 14.90, N/A
סלט חזרת 250 גרם, 16.50, N/A, 14.90, N/A
פלפל צומה ביטון 250 גרם, 16.50, 16.50, 14.90, ['17.90']
אריסה מרוקאית 250 גרם, 16.50, 16.50, 14.90, ['17.90']
סלט שום כתוש 250 גרם, 16.50, 16.50, 14.90, ['17.90']
סחוג אדום 250 גרם, 16.50, N/A, 14.90, N/A
סלרי עלים יחידה, 6.90, 6.90, N/A, N/A
סלרי קצוץ יחידה, 7.90, N/A, N/A, ['6.90']
פפסי בקבוק 500 מ`ל, 4.90, 4.30, 3.80, N/A
פפסי זירו בקבוק 500 מ`ל, 4.90, N/A, 3.80, ['6.00']
מירינדה בקבוק 500 מ`ל, 4.90, N/A, 3.80, N/A
סבנ אפ בקבוק 500 מ`ל, 4.90, N/A, 3.80, N/A
סבן אפ זירו בקבוק500מ`ל, 4.90, N/A, 3.80, N/A
מכבי שנדי ליים 330*6 מ`ל, 37.90, 37.30, 34.90, N/A
בירה הייניקן בק.חוזר500מ, 10.00, N/A, 9.80, N/A
נודלס ביצים להקפצה200גרם, 5.90, 5.00, 5.50, N/A
נודלס ביצים מסולסל200גרם, 5.90, 5.00, N/A, N/A
מנת השף נודלס בטעם עוף70, 5.50, 5.20, 4.90, ['7.90']
מנת השף נודלס טעם סיני70, 5.50, N/A, 4.90, N/A
מנת השף נודלס טעם תירס70, 5.50, 5.20, 4.90, N/A
מנת השף נודלס פטריות70ג, 5.50, 5.20, 4.90, N/A
מנת השף נודלס ירקות70ג, 5.50, N/A, 4.90, N/A
צנימים 250 גרם, 8.90, 8.90, 8.90, ['9.90']
מיני חלוה ללת`ס15יח10*גר, 12.90, 11.00, 8.90, N/A
שמן זית 2 קלאסי 750מ`ל, 45.90, 45.90, 39.90, ['46.90']
דנונה בר תות קורנפ175.גר, 5.30, 5.50, 5.40, ['5.60']
גמדים לשתיה תות בננ100*8, 22.50, 22.20, 21.90, N/A
דני שוקולד 125*8גרם, 18.50, 18.50, 17.90, ['19.20']
רוטב אסייתי למוקפץ 160ג, 12.90, 12.20, N/A, N/A
טחינה ירושלים 500 גרם, 18.50, N/A, 17.90, N/A
טחינה מלאה ירושלים 500 ג, 18.50, 18.20, N/A, N/A
צימרוני אוזניים מעץ300יח, 4.50, 4.00, 3.90, N/A
ק.ידיים אפקטיב קר יבש150, 17.90, N/A, 16.90, ['16.50']
ד`ר פישר קרם גוף רגיש, 32.90, N/A, 30.90, N/A
ק.גוף אפקטיב קר יבש 700מ, 32.90, N/A, 30.90, N/A
ק.גוף אפקטיב קר רגיל700מ, 30.90, N/A, 30.90, N/A
פיתות במרקם מיוחד 100*8ג, 12.50, 12.50, N/A, N/A
פיתות ביס 12יח` 600גרם, 13.50, 13.20, N/A, N/A
פיתה100% כוסמין 50*8 גרם, 17.80, 17.20, 17.90, N/A
פיתות100% כוסמין 50*6 גר, 17.80, 17.50, 17.90, N/A
ממתיק סטיביה 100שק, 34.90, 33.50, 29.90, N/A
רוטב רימונים 320 גרם, 11.50, 11.00, 9.90, N/A
סנו סושי כפפות אלוורה M, 9.90, 10.20, 8.90, ['12.50']
סלט מטבוחה 500 גרם, 16.10, 16.10, 14.90, N/A
גבינה לבנה 5% שומן 500 ג, 11.62, 11.62, 11.62, N/A
סירופ דיאט לימונענע750מל, 19.90, N/A, 18.50, ['22.90']
סירופ דיאט אננס 750 מ`ל, 19.90, N/A, 19.90, N/A
פחית קוקה קולה 330 מ`ל, 6.90, 6.50, 5.20, ['6.90']
פחית קוקה קולה זירו330מל, 6.90, 6.50, 5.20, ['6.90']
פחית קוקה קולה דיאט330מ, 6.90, 6.50, N/A, ['6.90']
פיוז טי תה אפרסק, 7.50, 7.50, 6.30, ['8.90']
פחית פאנטה ט.אורנג330`מל, 6.90, N/A, 5.20, ['6.90']
פחית פאנטה ט.אקזוטי330מל, 6.90, N/A, 5.20, N/A
סיידר תפוחים אלכוהולי330, 11.50, N/A, 9.90, N/A
קוקה קולה 330*6 מ`ל, 24.90, 24.90, 21.90, ['26.50']
קוקה קולה זירו 330*6 מ`ל, 24.90, N/A, 21.90, ['26.50']
א.סבון לפני שינה קמיל500, 19.90, N/A, 18.90, N/A
שוופס סודה לימון 250 מ`ל, 4.90, N/A, 3.50, N/A
שוופס מוגז אפרסק 500 מ`ל, 6.90, 6.60, 6.20, N/A
שוופס מוגז פירות יער500מ, 6.90, 6.60, 6.20, N/A
קרמיסימו שלושה שוקולדים, 21.90, 25.20, 21.90, N/A
קרמיסימו פרווה שוקו/וניל, 21.90, 25.20, 21.90, N/A
סומק עמיד 23, 58.90, N/A, N/A, ['35.50']
סומק עמיד 14, 56.50, N/A, N/A, ['35.50']
סומק עמיד 21, 56.50, N/A, N/A, ['35.50']
גן קסום תפוח+קינמון 25שק, 19.90, N/A, N/A, ['22.50']
חליטת קמומיל+נענע25ש1.5*, 19.90, N/A, 19.90, ['22.50']
חל.קמומיל+דבש גן קסום25ש, 19.90, N/A, 19.90, ['22.50']
תה ירוק ארל גריי25שק1.5X, 25.50, 25.50, N/A, N/A
גרנולה פקאן 1 ק`ג, 29.90, 28.90, N/A, N/A
מוזלי קראנצי בוטנ+שקד1ק, 29.90, N/A, 29.90, N/A
מוזלי 30% פירות גרין 1קג, 29.90, 29.90, 29.90, N/A
גרנולה אגוזים 1 ק`ג, 29.90, 28.90, N/A, N/A
גרנולה פירות 1 ק`ג, 29.90, 28.90, N/A, N/A
בירה פאולנר 4 * 330 מ`ל, 41.90, N/A, N/A, ['40.50']
פפסי זירו מארז 500*6 מ`ל, 19.90, N/A, 21.90, N/A
מכבי שנדי אפרסק 330*6מ`ל, 37.90, 37.30, 34.90, N/A
פפסי זירו פחית 330*6מ`ל, 19.90, 19.30, 19.90, ['20.90']
תרכיז תפוחים סחוט 500מ`ל, 17.90, N/A, 17.90, N/A
תרכיז תפוחים צלול 500מ`ל, 17.90, 17.20, N/A, N/A
דניאלה בננה 88 גרם, 4.20, 4.30, 4, ['4.40']
קוטג` 5% שומן 250 גרם, 6.70, 7.00, 6.90, ['7.00']
חטיפים מתוקים -מחרום, 6.50, N/A, 6.90, N/A
חטיף אגוזים ישראלי 250גר, 19.90, N/A, 21.90, N/A
מארז פטריות פורטבלו למיל, 15.90, 18.90, N/A, N/A
חטיפי חלבה וניל ללת`ס126, 13.40, N/A, 10.90, N/A
חטיפי חלבה וניל 18*7 גרם, 13.90, N/A, 10.90, N/A
חטיפי חלבה פיסטוק 18*7 ג, 13.90, N/A, 10.90, N/A
צמד פטריות שמפניון, 18.90, 18.90, N/A, N/A
משקה חלב בטעם קפה 350מ`ל, 6.60, N/A, 6.20, N/A
מטרנה חלבי שלב 1 700ג, 52.90, N/A, 49.90, N/A
מטרנה חלבי שלב 2 700ג, 52.90, N/A, 49.90, N/A
מטרנה חלבי שלב 3 700ג, 52.90, 54.90, 49.90, N/A
מטרנה מהדרין שלב 1 700גר, 58.90, N/A, 49.90, N/A
מטרנה מהדרין שלב 2 700גר, 58.90, 59.90, 49.90, N/A
ביסקויט תה שוקו הדר 110, 4.70, 4.00, N/A, N/A
שקד מלא טחון בכבישה300 ג, 35.90, 35.50, N/A, N/A
אגוזי אדמה חמאת בוטנ300ג, 13.90, 15.20, N/A, N/A
שקד לבן בכבישה קרה 300 ג, 39.90, 35.50, N/A, N/A
חטיף תמרים+חמאת קשיו150ג, 20.90, 20.20, N/A, N/A
פטה כבשים 20% 250ג, 26.90, 34.90, 28.90, ['32.50']
גב.בולגרית מסורתית5% 250, 27.50, 28.90, 25.90, ['29.70']
גבינה בולגרית 16% 250גרם, 28.50, 28.90, 25.90, N/A
קוב.בולג.מעודנת 5% 200ג, 24.90, 26.90, 23.90, ['29.50']
פטה מעודנת עיזים5% 250ג, 35.90, 36.90, 33, N/A
גב.בולגרית מעודנת5% 250ג, 27.90, 28.90, 25.90, ['29.70']
גבינת קאשקבלו 26%ש 200ג, 32.90, N/A, N/A, ['33.80']
פטה עיזים 20% שומן 200 ג, 30.50, 31.90, 28.90, N/A
חלומי גד גב.קשה 24% 200ג, 26.50, 27.90, 23.90, ['27.20']
גב.שמנת ט.טבעי5% 200גרם, 15.50, 15.90, 12.90, ['15.50']
גבינת שמנת 30% טבעי200גר, 16.90, 17.90, 14.90, N/A
ריקוטה פרסקה 9%, 22.50, 21.90, 19.90, N/A
200 קיסמי שיניים פלסטיק, 9.90, 10.00, N/A, N/A
מאגדת לייט ריבת חלב, 29.90, N/A, N/A, ['31.90']
אל סבון לפני השינה1 ליטר, 33.90, N/A, 32.90, N/A
קרפצ`יו עגל 210 גרם, 39.90, 40.50, N/A, N/A
קמח רב תכליתי ל.גלוטן450, 19.90, 20.20, N/A, N/A
הפי למקלחון 750 מ`ל, 21.90, 20.20, 17.90, N/A
פילה אנשובי 45 גרם, 8.20, 8.00, N/A, N/A
סנו אנטי קאלק נ.כללי700מ, 18.50, 18.50, 19.90, ['19.90']
אבקת כביסה קולון  5 ק`ג, 44.90, 45.50, 45.90, N/A
בייבי ביס בטעם טבעי 50 ג, 17.90, 16.20, 12.90, N/A
בייבי ביס טעם ירקות 50 ג, 17.90, 16.20, 12.90, N/A
בייבי ביס טעם גזר 50 גרם, 17.90, N/A, 12.90, N/A
בייבי ביס טעם בננה 50 גר, 17.90, 16.20, N/A, N/A
כתמטמינים חטיף בריאות45ג, 6.70, 6.90, N/A, N/A
גל גילוח לעור רגיל 200, 15.90, N/A, 12.90, N/A
קצף גילוח לעור עדין 200מ, 11.50, N/A, N/A, ['12.90']
קצף אורנים-קצף לניקוי1 ל, 19.50, N/A, 16.90, N/A
משחה אורביטול ענבים 70 ג, 8.90, 8.00, N/A, N/A
טחינה בלאדי רפי כהן 400ג, 18.50, 19.90, N/A, ['19.90']
ביסבול 700 גרם, 18.50, 20.20, N/A, N/A
קציצות עוף ובקר 600גרם, 39.90, N/A, 33.90, N/A
סנו אינסטלטור 200 גרם, 14.50, 14.20, 11.90, N/A
א.כביסה מקסימה מאסק 6ק`ג, 49.90, 50.50, 49.90, N/A
ליסטרין שיניים+חניכ500מל, 22.50, N/A, 17.90, N/A
זיתים קלמטה 215 גרם, 16.90, 16.20, 16.90, N/A
זית קלמטה ללא גלעין190גר, 16.90, 16.20, 16.90, N/A
חרדל דיז`ון ריין 350 גרם, 13.90, N/A, 14.90, ['16.90']
אספרגוס לבן שלם 330, 12.50, 12.20, N/A, N/A
רסק תפו`ע 4 * 113 גרם, 12.90, 13.20, N/A, N/A
רסק תפו`ע ללת`ס 4*113 גר, 12.90, 13.20, N/A, N/A
קריספיות טבעי, 14.90, N/A, N/A, ['14.90']
קריספיות מרובה דגנים 75ג, 16.50, N/A, 15.90, ['16.90']
קריספיות קידס 30 גרם, 13.50, N/A, N/A, ['14.50']
עגבניה שרי אשכולות מובחר, 10.90, 10.90, N/A, N/A
אבקת כב.מקסימה מאסק 2.5ק, 26.90, N/A, 22.90, N/A
אב.כביסה מקסימה סנסטיב6ק, 49.90, N/A, 49.90, N/A
סנוקליר שקית מילוי 750מל, 5.90, 6.00, 6.90, N/A
מקסימה מרכך מרוכז זן 1 ל, 18.90, 19.10, 19.90, ['19.90']
מקסימה מרכך מרוכז מסק 1ל, 18.90, N/A, 19.90, N/A
אורביטול קיד מי פה 250מל, 11.90, 11.20, N/A, N/A
סנו אינסטלטור נוזלי 1 ל, 27.90, 27.90, 26.90, ['29.90']
קבנוס 135 גרם, 13.50, 14.20, 11.90, ['15.70']
קבנוס בטעם שום 135 גרם, 13.50, N/A, 12, N/A
נקניקיות ג`מבו 1.5 ק`ג, 35.90, N/A, 32.90, N/A
קבנוס מעודן 135 גרם, 13.50, N/A, 12, N/A
פסטרמה בדבש דק דק דק, 16.50, 17.10, 15, ['18.90']
פסטרמה ברביקיו דק דק דק, 16.50, 17.10, 15, ['18.90']
חזה בקר דק דק 120 גרם 12, 16.50, 17.10, 15, ['18.90']
אורז בסמטי, 49.90, N/A, 42.90, N/A
ק.גוף אפקטיב קר שיבול700, 32.90, N/A, 30.90, N/A
ק.ידיים שיבולת שועל 150מ, 17.90, N/A, 16.90, ['16.50']
ספרינג קולקש.חמוציות1.25, 13.90, 12.90, 13.20, N/A
תה ירוק קמומיל 25שק1.5*ג, 25.50, N/A, N/A, ['26.50']
שניצל תירס טבעול ל.גלוטן, 28.90, 28.90, N/A, ['39.90']
בצל קצוץ ומטוגן 180 גרם, 11.90, 11.00, 10.90, N/A
מיץ לימון טבעי במגשית 65, 11.90, N/A, 11.90, N/A
איילנד גויאבה 300 מ`ל, 6.90, N/A, 5.40, ['6.50']
יוגורט עיזים בדלי 750גרם, 17.90, 23.50, 20.90, N/A
יוגורט כבשים בדלי 750גרם, 17.90, N/A, 20.90, N/A
יוגורט עיזים ביו 150 גרם, 7.20, N/A, 6.40, N/A
יוגורט עיזים לשתיה 1 ל`, 19.90, 26.90, N/A, N/A
סוכרלוז מרמולייט200 כשלפ, 46.90, N/A, 48.90, N/A
אנטי קאלק מטליות 50 יח`, 12.50, 11.00, N/A, N/A
מקסימה מרכך סנסטיב 1ל, 18.90, 19.10, 19.90, N/A
מטליות ריצפז ניחוח מרכך, 12.50, 12.20, N/A, N/A
מטליות ריצפז ניחוח לונדר, 12.50, N/A, 10.90, N/A
נבטי חמניה 230 ג` אורגני, 13.90, N/A, N/A, ['8.90']
נבטים אלפלפא יחידה, 13.90, N/A, N/A, ['8.90']
צ`יפס לתנור 1.5 ק`ג, 28.90, 29.20, 25.90, ['27.50']
דורות מגשית ת.תיבול 160ג, 12.90, 12.20, N/A, N/A
מקרוני+רוטב גבינה206ג, 12.90, N/A, 10.90, N/A
ארוחת פסטה+רוטב גבינה156, 12.90, N/A, 12.90, N/A
שעועית אדומה 400 גרם, 11.20, 10.00, N/A, N/A
בירה מלכה בהירה 330 מ`ל, 15.90, N/A, 13.90, N/A
בירה מלכה אדמונית 330מ`ל, 15.90, N/A, 13.90, N/A
רדיד אלומיניום רחב דיימו, 18.90, N/A, 17.90, N/A
משחת סנסודין רפיד רליף75, 29.90, 27.90, 25.90, N/A
משחת סנסודיין פרש מינט75, 24.90, 24.90, N/A, ['23.50']
500 קיסמי שיניים במבוק, 3.90, 3.90, N/A, N/A
המבורגר אנגוס 300 גרם, 24.90, N/A, 25.90, N/A
לחם מלא+100%שיפון-קל750ג, 15.70, 16.20, 14.90, ['18.20']
מטרנה אקסטרה קר שלב1 700, 64.90, N/A, 60.90, N/A
מטרנה אקסטרה קר שלב2 700, 64.90, N/A, 60.90, ['69.90']
מטרנה אקסטרה קר שלב3 700, 64.90, N/A, 60.90, ['69.90']
חסה אורגני יחידה, 8.90, N/A, N/A, ['8.90']
חסה לבבות אורגנית, 14.90, N/A, N/A, ['15.90']
סלרי עלים אורגני יחידה, 9.90, N/A, N/A, ['9.90']
תאנים טריות ארוז יחידה, 29.90, N/A, N/A, ['29.90']
בצל ירוק אורגני יחידה, 10.90, N/A, N/A, ['9.90']
קייל אורגני יחידה, 14.90, N/A, N/A, ['13.90']
פלפל חריף אדום אורגני יח, 13.90, N/A, N/A, ['12.90']
תרד עלים אורגני יחידה, 14.90, N/A, N/A, ['11.90']
כוסברה אורגני, 8.90, N/A, N/A, ['8.90']
פטרוזיליה אורגני יחידה, 8.90, N/A, N/A, ['9.90']
עגבנ.שרי אדומות 460 גרם, 20.90, N/A, N/A, ['18.90']
מלפפון בייבי אורגני - יח, 12.90, N/A, N/A, ['13.90']
פלפל ביס מתוק אורגני יח, 16.90, N/A, N/A, ['14.90']
ג`ינג`ר אורגני יחידה, 23.90, N/A, N/A, ['17.90']
בורקס פילו גבינה 600 גרם, 24.90, N/A, 20.90, N/A
בצק פריך מתוק 450X2 900, 28.90, 28.50, 23.90, ['29.50']
בצק פריך מלוח 450X2גרם 0, 28.90, N/A, N/A, ['28.90']
בצק שמרים למאפים מתוקים, 26.90, N/A, N/A, ['28.90']
לחם לבן ללא גלוטן 500גרם, 20.90, N/A, 22.90, N/A
לחם פשתן ללא גלוטן 500גר, 23.90, N/A, 20.90, N/A
רביעיית לחמניות בורגר, 20.90, N/A, 17.90, N/A
לחמנ.סנדוויץ רביעיה 460ג, 23.90, 22.90, 22.90, N/A
לחמניות נקניקיה שישיה460, 23.90, 22.90, N/A, N/A
תערובת כדורי שוקולד500גר, 19.90, N/A, 17.90, N/A
תערובת פנקייק 400 גרם, 17.90, N/A, 17.90, N/A
תערובת עוגת וניל 560 גרם, 19.90, N/A, 17.90, N/A
פודינג וניל 80 גרם, 6.90, N/A, 4.90, N/A
תערובת קרם פטיסייר100גרם, 12.90, 12.20, N/A, N/A
ג`וני גלילת וופל למילוי, 25.90, N/A, 19.90, N/A
תמצית בטעם וניל 50 מ`ל, 5.50, 5.50, 5.20, N/A
תמצית בטעם רום 50 מ`ל, 5.50, N/A, 5.40, N/A
סירופ מייפל 100% 236 גרם, 36.90, N/A, 35.90, N/A
סירופ בטעם מייפל 500גרם, 15.50, 15.50, 15.90, N/A
סירופ בטעם שוקולד 500גרם, 15.50, N/A, 12.90, N/A
סירופ מייפל 100%אמיתי187, 28.90, 27.90, 29.90, N/A
שקד מולבן פרוס 100 גרם, 14.90, 15.20, N/A, N/A
שומשום 100 גרם, 5.90, 5.50, 4.90, N/A
שומשום 400 גרם, 16.50, 16.90, 16.90, N/A
צבעי מאכל ג`ל 4 * 25 מ`ל, 44.90, 53.50, N/A, N/A
פודינג בטעם וניל לבן80ג, 6.90, 6.20, 4.90, N/A
סודה לשתיה 100 גרם, 2.90, 2.30, 2.90, ['3.90']
אבקת סוכר אריזת פטנט250ג, 14.90, 19.90, 14.90, ['18.90']
קורנפלור 200 גרם, 4.90, N/A, 4.50, N/A
קורנפלור 500 גרם, 8.90, 9.00, 7.90, N/A
סירופ בטעם קרמל מלוח500ג, 18.90, 19.20, N/A, N/A
אייס קפה 350 גרם, 15.90, N/A, 19.90, N/A
קצפת צמחית מעודנ24% 200מ, 8.00, 8.00, N/A, N/A
צמד פטריות מעורב, 18.90, N/A, 18.90, N/A
צמד פטריות מעורב, 18.90, N/A, 17.90, N/A
מאגדת מיני סולרו טרופי, 25.50, N/A, 23.90, ['28.50']
מקסימה סופר מרוכז פרש 1ל, 18.90, 19.10, 19.90, ['19.90']
ריצפז פרש מלון מפנק 2 ל, 22.50, 22.50, 19.90, N/A
פוליויקס פרקט מלון 2 ל`, 22.50, 22.20, N/A, N/A
אוקסיג`ן ג`ל 3ליטר, 32.90, N/A, 27.90, ['34.90']
מקסימה ג`ל לכביסה 3ל, 32.90, 33.20, N/A, N/A
מקסימה מרכך מרוכז ביו1ל, 18.90, 19.10, 19.90, N/A
מקסימה מרכך בייבי 1 ליטר, 18.90, N/A, 19.90, ['19.90']
מקסימה ג`ל כביסה 3ליטר, 32.90, N/A, 31.90, N/A
מקסימה ג`ל כביסה מאסק3ל, 32.90, 33.20, 31.90, ['34.90']
ריצפז פרש הום בוטיק 2ל, 22.50, 22.50, 19.90, ['23.90']
ספוג הפלא אקסטרה 6 יחידו, 12.50, N/A, 9.90, N/A
מטליות ריצפז ניחוח מאסק, 12.50, N/A, 10.90, N/A
10מטליות ריצפז מל.בוטיק, 12.50, 12.20, 10.90, ['13.50']
סנו ק-333 750מ`ל, 29.90, 30.50, N/A, N/A
פריניר רוטב לפסטה 240גר, 5.90, 6.00, 5.90, ['6.50']
פריניר רוטב פיצה  240גר, 5.90, N/A, 5.90, N/A
שיפודי במבוק ג`מבו 50 יח, 5.00, N/A, 5.30, N/A
מדליק פחם מוצק 40 יחידות, 6.90, N/A, 6.90, ['7.90']
פירורי לחם מוזהבים320גרם, 8.30, 8.00, 7.30, ['9.90']
קרם קוקוס פחית 400 מ`ל, 10.00, N/A, 8.90, N/A
רוטב צילי מתוק 700 מ`ל, 13.20, 13.20, 11.90, ['14.90']
רוטב צילי חריף 700 מ`ל, 13.20, 13.20, 12.90, N/A
חסה סלנובה, 14.90, 11.90, N/A, N/A
בירה אלכסנדר בלונד330מ`ל, 14.90, 12.90, 12.90, ['15.50']
בירה אלכסנדר חיטה 330 מל, 14.90, N/A, 12.90, N/A
מאגדת אבטיח 5יח, 26.90, N/A, 27.90, ['28.90']
עוגיות שיבולת שועל טחינה, 26.90, N/A, N/A, ['26.90']
עוג.כוסמין ושוקוציפס230, 26.90, N/A, N/A, ['26.90']
עוגיות כוסמין תפוחים230ג, 26.90, N/A, N/A, ['27.50']
עוגיות חמאת בוטנים 200 ג, 28.90, N/A, N/A, ['29.90']
עוגיות גרידת לימון 230 ג, 28.90, N/A, N/A, ['29.90']
ערמונים קלופים+קלויים100, 6.00, 6.00, 5.90, ['6.90']
תפוח אדמה למיקרו יחידה, 9.90, N/A, N/A, ['11.00']
ספגטי כוסמת אורגני 250 ג, 17.90, N/A, N/A, ['14.50']
רוטב פסטה לילדים יכין, 6.90, 6.90, 6.50, N/A
סירופ דיאט לימונענע 1ל, 12.90, N/A, 9.90, N/A
נתחי טונה בשמן קנולה414, 15.50, N/A, 14.90, N/A
ספרייט זירו 330 מ`ל, 6.90, N/A, 5.20, ['6.90']
ספרייט זירו 500 מ`ל, 8.20, N/A, N/A, ['8.90']
קולה זירו 1 ליטר, 7.50, 7.50, 6.80, ['7.90']
קוקה קולה 1 ליטר, 7.50, 7.50, 6.80, ['7.90']
ספרייט זירו פחיות 330*6מ, 24.90, N/A, N/A, ['26.90']
משקה פירות הדר סחוט 1 לי, 16.90, N/A, 17, N/A
מגב.מסירי איפור רגיל3*30, 19.90, 26.50, 20.90, N/A
מגבונים להסרת איפור3*30, 19.90, N/A, 20.90, N/A
שניצל כלי תחבורה 700 גרם, 43.90, 46.30, 39.90, N/A
בירה גמס 8.8% 330 מ`ל, 14.90, 14.00, N/A, ['15.50']
צ`ילי מתוק 700 גרם, 11.90, 11.00, 9.90, N/A
קרם קוקוס גולד, 6.90, N/A, 6.90, N/A
רוטב טריאקי 300 מ`ל, 9.90, N/A, 9.40, N/A
שמן שומשום 150 מ`ל, 14.90, N/A, 13.90, N/A
נודלס דק להכנה מהירה400ג, 7.50, N/A, 6.90, N/A
נודלס עבה הכנה מהירה400ג, 7.50, N/A, 6.90, N/A
רביולי במילוי גבינות330ג, 29.90, 29.90, N/A, ['30.50']
רביולי בטטה 330 גרם, 29.90, 29.90, N/A, N/A
רביולי תרד וריקוטה 330גר, 29.90, 29.90, N/A, N/A
טונה סטארקיסט קנולה160*4, 25.90, N/A, 27.90, ['26.90']
מטליות לחיטוי 50*3 יח`, 21.90, N/A, N/A, ['25.90']
ג`ל לכביסה בייבי 3 ליטר, 37.90, 38.50, 31.90, ['39.90']
רסק תפוחים טבעי 670 גרם, 13.90, N/A, 11.90, N/A
נקניקיות פרגיות 300 גרם, 15.50, 16.20, 12.90, N/A
פסטרמה שום וצילי 400 גר, 32.90, N/A, 30.90, ['36.50']
נקניקיות וינר 1 ק`ג, 27.90, 28.50, N/A, N/A
קבנוס 120 גרם, 11.90, N/A, 10.90, ['13.90']
קבנוס בטעם פיקנטי 120 ג, 11.90, 12.20, N/A, N/A
חטיפי קבנוס 120 גרם, 11.90, N/A, N/A, ['13.90']
צמד כפרי ברביקיו 600גרם, 34.90, 34.50, 28.90, N/A
נקניקיות עוף 1.5 ק`ג 150, 39.90, 40.50, 37.90, N/A
עוגה ללת`ס תפו`ע 450 גרם, 14.90, N/A, 11.90, N/A
קינואה אורגנית 500 גרם, 24.90, 17.90, N/A, ['22.50']
שעועית עדינ.קפוא אורג800, 25.90, N/A, N/A, ['25.90']
אפונה עדינה קפוא אורג600, 25.90, N/A, N/A, ['25.90']
חליטת קמומיל ולימונית25ש, 19.90, N/A, 19.90, N/A
חליטת לימונית לואיזה 25ש, 19.90, 20.10, 19.90, ['22.50']
חליטת חמדת השקד 25ש2.3*ג, 19.90, N/A, N/A, ['22.50']
תה ירוק סטיביה+לימונית25, 25.50, N/A, 22.90, N/A
פסטרמה של פעם 250גרם, 32.50, 33.50, 25.90, ['27.90']
נקניקיות עוף 1.5 ק`ג, 29.90, 35.50, 27.90, ['32.90']
סלמי תה 300 גרם, 24.50, N/A, 23.90, N/A
שפירא פייל אייל 330 מ`ל, 15.90, N/A, N/A, ['13.90']
שפירא חיטה 330 מ`ל, 15.90, N/A, N/A, ['13.90']
שפירא איי.פי.איי 330 מ`ל, 15.90, 16.20, N/A, ['14.90']
משחת סנסודיין לשיקום75מ, 29.90, N/A, 25.90, ['26.50']
משחת סנסודיין לשיקום75מ, 29.90, 27.90, 25.90, N/A
קפסולות ריסטרטו 8 50 גרם, 17.50, 15.20, N/A, N/A
קפסולות קלאסיק 9 50 גרם, 17.50, 15.20, N/A, ['16.90']
קפסולות תערובת הבית11 50, 17.50, 15.20, N/A, ['16.90']
קפסולות קליה כפולה12 50ג, 17.50, N/A, N/A, ['16.90']
פטריות צמד פורטובלו, 18.90, 19.90, N/A, N/A
ניוקי 500 גרם, 9.90, N/A, 8.90, N/A
גב.גאודה פרוסות28% 1150ג, 10.90, N/A, 9.90, ['12.90']
עוגיות בטעם חמאה 350 גרם, 12.90, 12.20, N/A, N/A
מיונז אמיתי 500 גרם, 9.90, 10.00, N/A, N/A
שקד טבעי 200 גרם, 24.90, 22.90, 24.90, N/A
שזיף מיובש ללא גלעין250ג, 21.90, 23.90, 23.90, N/A
חמוציות בקופסא 250 גרם, 21.90, 15.90, N/A, N/A
תרסיס שמן קנולה 186 מ`ל, 14.90, 15.20, 14.90, N/A
צימוק בהיר 300 גרם, 15.90, N/A, 15.90, N/A
פקאן סיני 150 גרם, 21.90, 21.90, N/A, N/A
בורקס יפו גבינה 600גרם, 19.90, N/A, 18.90, ['23.20']
בורקס יפו תפו`א 600גרם, 19.90, N/A, 16.90, ['20.90']
